When,X,Y,Typestate,predX,predY
1.11272E+15,362,256,DOWN,362,256
1.11272E+15,362,257,MOVE,362,257
1.11272E+15,362,257,MOVE,362,257
1.11272E+15,362,257,MOVE,362,256.969
1.11272E+15,362,257,MOVE,362,256.98
1.11272E+15,362,257,MOVE,362,256.989
1.11272E+15,362,257,MOVE,362,256.995
1.11272E+15,362,257,MOVE,362,256.998
1.11272E+15,362,258,MOVE,362,258.306
1.11272E+15,362,258,MOVE,362,258.526
1.11272E+15,362,258,MOVE,362,258.033
1.11272E+15,361,257,MOVE,360.636,256.649
1.11272E+15,361,257,MOVE,360.428,256.433
1.11272E+15,361,257,MOVE,360.959,256.961
1.11272E+15,361,257,MOVE,361.05,257.051
1.11272E+15,361,257,MOVE,361.043,257.044
1.11272E+15,361,257,MOVE,361.025,257.025
1.11272E+15,361,257,MOVE,361.013,257.013
1.11272E+15,361,257,MOVE,361.006,257.006
1.11272E+15,361,257,MOVE,361.003,257.003
1.11272E+15,361,257,MOVE,361.001,257.001
1.11272E+15,361,257,MOVE,361.001,257.001
1.11272E+15,362,257,MOVE,362.306,257
1.11272E+15,361,257,MOVE,361.152,257
1.11272E+15,361,257,MOVE,360.888,257
1.11272E+15,361,257,MOVE,361.024,257
1.11272E+15,361,257,MOVE,361.034,257
1.11272E+15,361,257,MOVE,361.022,257
1.11272E+15,360,257,MOVE,359.698,257
1.11272E+15,358,258,MOVE,355.305,258.563
1.11272E+15,357,257,MOVE,351.956,257.017
1.11272E+15,354,257,MOVE,347.018,255.953
1.11272E+15,338,257,MOVE,318.217,256.81
1.11272E+15,328,257,MOVE,290.477,256.994
1.11272E+15,319,257,MOVE,276.07,257.016
1.11272E+15,311,257,MOVE,268.108,257.01
1.11272E+15,312,257,MOVE,277.346,257.006
1.11272E+15,298,259,MOVE,268.181,261.433
1.11272E+15,301,259,MOVE,269.967,263.319
1.11272E+15,291,258,MOVE,267.103,258.343
1.11272E+15,293,258,MOVE,269.443,256.741
1.11272E+15,293,258,MOVE,289.879,258.101
1.11272E+15,293,258,MOVE,289.737,258.522
1.11272E+15,293,258,MOVE,290.988,258.338
1.11272E+15,293,258,MOVE,291.952,258.182
1.11272E+15,293,258,MOVE,292.498,258.091
1.11272E+15,292,259,MOVE,291.476,259.37
1.11272E+15,293,259,MOVE,292.984,260.2
1.11272E+15,293,259,MOVE,293.628,259.3
1.11272E+15,293,259,MOVE,292.987,259.046
1.11272E+15,293,259,MOVE,292.901,258.996
1.11272E+15,293,259,MOVE,292.928,258.99
1.11272E+15,293,259,MOVE,292.96,258.993
1.11272E+15,293,259,MOVE,292.98,258.996
1.11272E+15,293,258,MOVE,292.992,257.69
1.11272E+15,292,255,MOVE,291.453,251.513
1.11272E+15,292,251,MOVE,290.854,241.744
1.11272E+15,286,236,MOVE,279.484,214.261
1.11272E+15,283,227,MOVE,268.384,189.995
1.11272E+15,282,217,MOVE,269.813,174.39
1.11272E+15,283,219,MOVE,279.139,181.996
1.11272E+15,283,205,MOVE,282.747,174.362
1.11272E+15,282,198,MOVE,280.994,160.075
1.11272E+15,283,200,MOVE,283.271,172.881
1.11272E+15,283,200,MOVE,285.501,195.562
1.11272E+15,282,200,MOVE,280.186,197.623
1.11272E+15,282,200,MOVE,279.923,199.003
1.11272E+15,282,200,MOVE,281.76,199.586
1.11272E+15,282,200,MOVE,282.112,199.832
1.11272E+15,282,201,MOVE,282.051,201.324
1.11272E+15,282,201,MOVE,282.02,201.564
1.11272E+15,282,201,MOVE,282.008,201.035
1.11272E+15,281,202,MOVE,280.636,202.38
1.11272E+15,281,202,MOVE,280.427,202.579
1.11272E+15,281,202,MOVE,280.959,202.043
1.11272E+15,281,202,MOVE,281.05,201.95
1.11272E+15,281,202,MOVE,281.043,201.957
1.11272E+15,281,202,MOVE,281.025,201.975
1.11272E+15,283,202,MOVE,283.867,201.99
1.11272E+15,287,202,MOVE,292.786,201.996
1.11272E+15,291,202,MOVE,302.993,201.998
1.11272E+15,307,197,MOVE,331.099,191.794
1.11272E+15,317,194,MOVE,356.834,181.205
1.11272E+15,326,192,MOVE,370.287,178.715
1.11272E+15,334,193,MOVE,378.052,186.518
1.11272E+15,333,193,MOVE,368.273,192.581
1.11272E+15,345,194,MOVE,373.776,194.911
1.11272E+15,343,195,MOVE,371.666,198.581
1.11272E+15,343,195,MOVE,345.935,199.802
1.11272E+15,343,195,MOVE,346.559,194.658
1.11272E+15,343,195,MOVE,345.285,194.106
1.11272E+15,343,195,MOVE,344.211,194.379
